Name,Image,Species,Personality,Gender,Birthday,Default Catchphrase,Default Clothing,Default Umbrella,Liked Look,Disliked Look,Favorite Color,Favorite Series,Furniture Taste #1,Furniture Taste #2,Furniture,House Song,Wallpaper,Carpet,Starting Villager,Name (Japanese),Name (Spanish),Name (French),Name (German),Name (Italian),Name (Korean),Catchphrase (Japanese),Catchphrase (Spanish NA),Catchphrase (Spanish EU),Catchphrase (French NA),Catchphrase (French EU),Catchphrase (German),Catchphrase (Italian),Catchphrase (Korean),New to Series,Notes,Villager ID,Hex ID
Tipper,,Cow,Snooty,Female,August 25,pushy,rainbow shirt,forest umbrella,gaudy,subtle,colorful,Classic,playful,trendy,classic bed; cream sofa; classic bookcase; kitchen sink; tall bovoid; White Cosmos; antique clock; phonograph; mega bovoid;,Soulful K.K.,modern wall,stone tile,Yes,まきば,Pinta,Valé,Angela,Tipper,마틸다,ミルミル,cuernitos,cuernitos,choupette,choupette,dingdong,sì sì sì,우유우유,No,,cow01,0034
Alfonso,,Alligator,Lazy,Male,June 9,it'sa me,big bro's shirt,leaf umbrella,strange,stylish,green,Exotic,playful,retro,retro stereo; glass-top table; exotic table; exotic chest; corn plant; mini rhythmoid; mini rhythmoid; mini rhythmoid; men's toilet;,Forest Life,imperial wall,charcoal tile,Yes,アルベルト,Kaimán,Alphonse,Markus,Alfonso,알베르트,だワニ,ñam-ñam,ñam-ñam,moi moi,moi moi,ahhhrg,proprio,나아거,No,,crd00,0035
Alli,,Alligator,Snooty,Female,November 8,graaagh,leopard shirt,sunny parasol,subtle,fresh,blue,Cabana,dignified,retro,cabana bed; sewing machine; ranch dresser; ranch couch; hi-fi stereo; daisy shirt; dark polka shirt; blue diamond top; natty shirt; lite polka shirt;,K.K. Chorale,cabana wall,cabana flooring,Yes,クロコ,Codrila,Allie,Ali,Alli,크로크,どすえ,lagartija,lagartija,graaagh,graaagh,graaach,graaag,얘야,No,,crd01,0036
Del,,Alligator,Cranky,Male,May 27,gronk,blue stripe knit,bat umbrella,striking,stylish,blue,Robo,dignified,retro,anchor; ship cannon; robo-dresser; amazing machine; reel-to-reel; ship compass; life ring; globe;,K.K. March,industrial wall,plank flooring,Yes,ヤマト,Croco,Hector,Krokki,Krokki,파도맨,プシュー,chomp,chomp,clap,clap,schnapp,chomp,처얼썩,No,,crd04,0037
Goldie,,Dog,Normal,Female,December 27,woof,dapper shirt,Toad parasol,stylish,striking,white,Regal,dignified,trendy,cabin table; cream sofa; green counter; regal bookcase; ranch bed; rocking chair; tall nebuloid; round cactus; cactus; turntable;,K.K. Bossa,blue-trim wall,birch flooring,Yes,キャラメル,Tere,Mirza,Bienchen,Dora,카라멜,ワン,guau-guau,guau-guau,ouaf,ouaf,wuff,wuf wuf,왈왈,No,,dog00,0038
Butch,,Dog,Cranky,Male,November 1,ROOOOOWF,arctic camo,spider umbrella,cool,cute,black,Modern,dignified,trendy,modern bed; gold stereo; modern table; nebuloid; blue golf bag; dart board; fan palm;,K.K. Fusion,concrete wall,modern tile,Yes,ジョン,Bruno,Avril,Hasso,Attila,존,ノン,gruf-gruf,gruf-gruf,WROOOOUF,WROOOOUF,GRRUFF,ROOOOOF,아니,No,,dog01,0039
Lucky,,Dog,Lazy,Male,November 4,rrr-owch,No. 23 shirt,bat umbrella,cool,striking,purple,Robo,dignified,retro,pyramid; sphinx; clothesline pole; watering trough; asteroid; mummy's casket; croakoid; Master Sword; asteroid;,K.K. Dirge,ancient wall,ancient tile,No,ラッキー,Pupas,Ramsès,Viktor,Felice,럭키,らしいよ,geniaaaal,guuuuAY,graaaouch,graaaouch,rrr-awau,ossorrr,그렇대,No,,dog02,003A
Biskit,,Dog,Lazy,Male,May 13,dawg,deep blue tee,sunny parasol,fresh,strange,orange,Ranch,dignified,retro,ranch bed; high-end stereo; cabin low table; ranch dresser; mega bovoid; straw hat; fan palm; cabin clock; ranch armchair;,K.K. Mambo,wood paneling,cabana flooring,Yes,ロビン,Amnesio,Crocket,Keks,Buffetto,로빈,だイヌ,guau,guau,clair,clair,kläff,brrranco,멍멍,No,,dog03,003B
Bones,,Dog,Lazy,Male,August 4,yip yip,caveman tunic,leaf umbrella,refined,gaudy,aqua,Kiddie,dignified,trendy,green bench; basic yellow bed; kiddie dresser; writing desk; computer; tall harmonoid; office chair; blue box; writing chair;,K.K. Ragtime,playroom wall,green rug,Yes,トミ,Cándido,Nonos,Strolch,Tobia,토미,ネッ,yip yip,yip yip,yip yip,yip yip,hechel,yip yip,옙,No,,dog04,003C
Portia,,Dog,Snooty,Female,October 25,ruffian,polar fleece,elegant umbrella,gaudy,refined,white,Regal,dignified,trendy,regal bed; regal dresser; classic bookcase; cream sofa; classic buffet; white knight; bad plaid shirt; lacy parasol; phonograph; regal lamp;,Café K.K.,chic wall,tartan rug,Yes,ブレンダ,Amanda,Dalma,Isolde,Porzia,블랜더,フンッ,ruf-ruf,ruf-ruf,brute,brute,frechi,ronfietto,흥,No,,dog05,003D
Walker,,Dog,Lazy,Male,June 10,wuh,No. 67 shirt,yellow umbrella,subtle,striking,red,Lovely,dignified,trendy,cabin bookcase; red sofa; sea bass; red sofa; paperboy cap; retro TV; classic clock; spaceman; caladium;,Two Days Ago,stone wall,plank flooring,Yes,ベン,Miki,George,Fido,Walter,벤,バウ,huesitos,huesitos,ouh,ouh,wafff,wuff,컹컹,No,,dog06,003E
Daisy,,Dog,Normal,Female,November 16,bow-WOW,kiddie shirt,gelato umbrella,subtle,cool,brown,Exotic,dignified,trendy,moon; exotic screen; cream sofa; antique clock; amber; ammonite; extinguisher; telescope;,K.K. Soul,library wall,tartan rug,Yes,バニラ,Luisa,Naomie,Doris,Fiorella,바닐라,だよね,chido,guaay,mon chou,mon chou,wauwau,bau WOW,그렇죠,No,,dog07,003F
Cookie,,Dog,Peppy,Female,June 18,arfer,blue tartan,gelato umbrella,cute,cool,green,Ranch,dignified,trendy,ranch table; ranch bed; ranch couch; ranch dresser; hi-fi stereo; ranch armchair; mega tootoid; ranch chair; mini tootoid; country guitar;,K.K. Chorale,ranch wall,ranch flooring,Yes,ペリーヌ,Purita,Cookie,Rosi,Briciola,베리,プリリン,fresita,fresita,woufi,woufi,nuffnuff,bubabù,초롱초롱,No,,dog08,0040
Bill,,Duck,Jock,Male,February 1,quacko,No. 2 shirt,gelato umbrella,fresh,subtle,green,Cabana,dignified,trendy,exotic bed; cabana dresser; watering trough; glass-top table; exotic wardrobe; birdcage; birdcage; coconut palm; coconut palm;,K.K. Reggae,lattice wall,kitchen tile,Yes,ピータン,Paquito,Choco,Bill,Gino,코코아,だね,cuaco,cuaco,choupichou,choupichou,quako,quaquo,탕,No,,duk00,0041
Joey,,Duck,Lazy,Male,January 3,bleeeeeck,No. 3 shirt,leaf umbrella,strange,cute,purple,Green,dignified,retro,backyard pool; elephant slide; lunar rover; exotic chest; globe; giant dharma; giant dharma; tape deck; mega quazoid;,K.K. Lament,tropical vista,ranch flooring,Yes,リチャード,Pascual,Joseph,Kalle,Pino,리처드,でヤンス,uac-uac,uac-uac,beeeuuuurk,beeeuuuurk,tschiiirp,squack,그래유,No,,duk01,0042
Pate,,Duck,Peppy,Female,February 23,quackle,winter sweater,blue umbrella,cute,refined,yellow,Classic,playful,trendy,classic bed; regal sofa; classic bookcase; classic vanity; classic clock; turntable; mega freakoid; Corinthian post; mini freakoid;,K.K. Dirge,stone wall,opulent rug,Yes,ナッキー,Pati,Terrine,Daune,Camilla,나키,メソメソ,cuaqui,cuaqui,coin coin,coin coin,quaak,quackquack,아잉,No,,duk02,0043
Maelle,,Duck,Snooty,Female,April 8,duckling,heart shirt,yellow umbrella,stylish,refined,white,Lovely,playful,trendy,lovely bed; lovely kitchen; classic buffet; cream sofa; phonograph; birdcage; lacy parasol; candy gingham; bromeliaceae;,Café K.K.,parlor wall,ceramic tile,Yes,アンヌ,Patidifú,Maëlle,Sissi,Palmita,앤,ふぅ,perla,perla,canardou,canardou,entchen,paperotto,우아,No,,duk03,0044
Deena,,Duck,Normal,Female,June 27,woowoo,kiddie shirt,green umbrella,subtle,striking,gray,Blue,dignified,retro,basketball hoop; tennis table; weight bench; ringside table; mop; CD player; office locker; office locker; office locker;,Mr. K.K.,concrete wall,concrete floor,Yes,まりも,Martita,Mina,Olivia,Dina,마리모,マル,miguita,miguita,youhou,youhou,juhuu,quiproquò,우우,No,,duk04,0045
Pompom,,Duck,Peppy,Female,February 11,rah rah,No. 4 shirt,candy umbrella,stylish,strange,aqua,Cabin,dignified,retro,classic bed; sink; elephant slide; cream sofa; lovely dresser; retro fridge; tulip table; baby bed; merry-go-round; retro TV;,K.K. Jazz,parlor wall,kitchen tile,Yes,のりっぺ,Flopi,Pompon,Erika,Erica,주디,だっピ,sinplumas,sinplumas,rah rah,rah rah,krah,quoquiquà,다삐,No,,duk05,0046
Mallary,,Duck,Snooty,Female,November 17,quackpth,blue stripe knit,sunny parasol,stylish,striking,brown,Exotic,dignified,trendy,cabana bed; cabana dresser; claw-foot tub; exotic bench; cactus; lady palm; turntable; cabana lamp; pothos;,K.K. Bossa,blue wall,mosaic tile,Yes,スミモモ,Mirta,Mallory,Marina,Sofia,스미모,ヨネ,recuac,recuac,coinpff,coinpff,quackpss,quackplà,모모,No,,duk06,0047
Freckles,,Duck,Peppy,Female,February 19,ducky,bright shirt,beach umbrella,refined,striking,colorful,Green,playful,retro,outdoor bath; boxing mat; boxing mat; dice stereo; kiddie dresser; mini puffoid; froggy chair; fan; mega puffoid; tulip table;,K.K. Song,green wall,bamboo flooring,Yes,マグロ,Rebeca,Caro,Quacks,Semola,다랑어,ぎょぎょ,cui-cuá,cui-cuá,poussin,poussin,quaak,qua qua,물물,No,,duk07,0048
Derwin,,Duck,Lazy,Male,May 25,derrrr,yellow bar shirt,yellow umbrella,cool,stylish,beige,Ranch,playful,retro,sink; basic green bed; writing desk; salmon; retro fridge; space heater; giant dharma; gargloid; writing chair;,The K. Funk,old brick wall,music-room floor,Yes,ボン,Torcuato,Prof,Erwin,Mike,봉,ね！ママ,cuato,cuato,derrrr,derrrr,krook,quaccolo,엄마,No,,duck08,0049
Drake,,Duck,Lazy,Male,June 25,quacko,folk shirt,yellow umbrella,subtle,gaudy,brown,Ranch,dignified,trendy,outdoor bath; sleeping bag; fireplace; blue bench; retro stereo; Red Tulips; microwave; Yellow Tulips; glow clock; White Tulips;,K.K. Blues,cabin wall,shanty mat,Yes,フォアグラ,Draco,Colvert,Gustav,Drago,푸아그라,かもね,polluelo,polluelo,canard,canard,schnabbl,quaqua,어쩌면,No,,duck09,004A
Scoot,,Duck,Jock,Male,June 13,zip zoom,frog shirt,flame umbrella,funky,cool,blue,Cabana,playful,trendy,cabana bed; pike; salmon; mega oombloid; corn plant; white boom box; corn plant; mega oombloid;,Marine Song 2001,cabin wall,shanty mat,Yes,マモル,Chema,Scooter,Helmut,Guizzo,지키미,グワッ,zapizum,zapizum,zak zak,zak zak,flitzer,zip zoom,꾸왁,No,,duck10,004B
Miranda,,Duck,Snooty,Female,April 23,quackulous,laced shirt,daisy umbrella,gaudy,fresh,yellow,Classic,dignified,trendy,pine table; retro stereo; pine chair; round cactus; cactus; cabana lamp; mega oombloid;,K.K. Salsa,plaza wall,checkered tile,Yes,ミランダ,Miranda,Maëllis,Tanya,Miranda,미란다,なにさ,cua-cuá,cua-cuá,couac,couac,brotbrot,quaquao,괜찮아,No,,duk12,004C
Opal,,Elephant,Snooty,Female,January 20,snoot,gray tartan,mint umbrella,gaudy,cool,white,Exotic,dignified,trendy,exotic bed; exotic screen; classic sofa; pachira; odd clock; exotic wardrobe; exotic lamp; phonograph;,Forest Life,mosaic wall,plaza tile,Yes,オパール,Ópalo,Opaline,Olga,Opal,오팔,ヨン,flip-flop,flip-flop,gropif,gropif,tröööt,snoob,땡,No,,elp00,004D
Dizzy,,Elephant,Lazy,Male,July 14,woo-oo,No. 5 shirt,gelato umbrella,gaudy,refined,black,Ranch,dignified,trendy,train set; elephant slide; cabin bed; mini dingloid; mini drilloid; blue chair; mega lamentoid; alarm clock;,K.K. Gumbo,wood paneling,backyard lawn,Yes,ヒュージ,Quique,Pachy,Bastian,Annibale,휴지,だゾウ,naricita,naricita,woutchou,woutchou,taraaaa,ullà,휴휴,No,,elp01,004E
Big Top,,Elephant,Lazy,Male,October 3,villain,No. 3 shirt,green umbrella,cool,fresh,blue,Blue,dignified,trendy,blue corner; boxing mat; ringside table; weight bench; boxing mat; sandbag; boxing barricade; tape deck; scale; judge's bell;,K.K. Metal,ringside seating,boxing ring mat,No,3ごう,Déivid,Miles,Benni,Grande C,3호,うりゃー,mutante,mutante,vipère,vipère,truuu,furfante,으랏차,No,,elp02,004F
Eloise,,Elephant,Snooty,Female,December 8,tooooot,yellow bar shirt,Toad parasol,gaudy,refined,green,Green,dignified,trendy,lovely bed; blue bench; green counter; retro stereo; green desk; blue clock; green chair; corn plant; folk guitar;,K.K. Jazz,citrus wall,ceramic tile,Yes,エレフィン,Eloísa,Eloïse,Frauke,Eloisa,엘레핀,ルン,orejillas,orejillas,tooouut,tooouut,tuutuuuu,nappole,훨훨,No,,elp03,0050
Margie,,Elephant,Normal,Female,January 28,tootie,hot spring shirt,petal parasol,gaudy,strange,brown,Cabana,dignified,retro,classic bed; cabana screen; cabana bookcase; exotic bench; cabana dresser; djimbe drum; lady palm; tea vase; turntable; exotic end table;,K.K. Bossa,Persian wall,exquisite rug,Yes,サリー,Rita,Maguy,Elisa,Marianna,샐리,シャララ,flaqui,flaqui,toutie,toutie,trampl,tootie,샬랄라,No,,elp04,0051
Axel,,Elephant,Jock,Male,March 23,WHONK,fresh shirt,modern umbrella,striking,subtle,colorful,Kiddie,dignified,retro,kiddie table; lovely dresser; pineapple bed; kiddie bureau; pine chair; pine chair; exotic end table;,K.K. Dixie,ivy wall,daisy meadow,Yes,エックスエル,Eustakio,Axel,Axel,Sandro,엑스엘리,でゴンス,ankagua,ankagua,splaf,splaf,TUUUUT,SBONK,히힛,No,,elp06,0052
Lily,,Frog,Normal,Female,February 4,zzrrbbitt,icy shirt,blue dot parasol,fresh,cool,green,Cabin,playful,trendy,cabin table; cabin low table; green dresser; green counter; cream sofa; stove; red boom box; froggy chair; retro fridge; fan;,K.K. Salsa,groovy wall,ceramic tile,Yes,レイニー,Lili,Raina,Liliane,Gigliola,레이니,でちゅ,mosquita,mosquita,croako,watich',kröti,gragragra,그래요,No,,flg00,0053
Ribbot,,Frog,Jock,Male,February 13,toady,lightning shirt,blue umbrella,striking,refined,gray,Robo,dignified,trendy,lunar lander; space shuttle; lunar rover; satellite; asteroid; asteroid; Spaceman Sam; Spaceman Sam; tall quazoid;,Go K.K. Rider!,lunar horizon,lunar surface,No,ガチャ,Ranobot,Crabot,Robbi,Ranabot,철컥,だロボ,brinquitos,crobit,croac,croac,quarrrk,cracrà,오버,No,,flg01,0054
Frobert,,Frog,Jock,Male,February 8,fribbit,Gracie's top,daisy umbrella,striking,subtle,colorful,Cabana,playful,trendy,watermelon table; kiddie couch; sea bass; kiddie stereo; clothesline pole; slim quazoid; pear wardrobe; melon chair; watermelon chair; pear dresser;,My Place,pastel-dot wall,citrus carpet,Yes,コージィ,Croaldo,Verbert,Fritz,Froberto,구리구리,クルリ,anquitas,anquitas,breup,breup,quäääk,fribbit,객울,No,,flg02,0055
Camofrog,,Frog,Cranky,Male,June 5,ten-hut,MVP shirt,bat umbrella,gaudy,fresh,blue,Blue,dignified,retro,backyard pool; ringside table; blue bench; boxing mat; office locker; squelchoid; boxing barricade; tape deck; boxing barricade;,K.K. Rock,ringside seating,boxing ring mat,Yes,フルメタル,Comando,Milos,Tarno,Crambo,충성,わい,recluta,recluta,gardeàvous,taïaut,quak-quak,attacroak,와이,No,,flg03,0056
Drift,,Frog,Jock,Male,October 9,brah,No. 67 shirt,petal parasol,strange,striking,orange,Ranch,dignified,retro,clothesline pole; covered wagon; watering trough; mini drilloid; broken post; cow skull; broken post; tumbleweed;,K.K. Country,western vista,western desert,Yes,ドク,Surfín,Gordon,Caspar,Prospero,덕,ゲロゲロ,colega,colega,braaaa,braaaa,quak,girin,개굴개굴,No,,flg04,0057
Wart Jr.,,Frog,Cranky,Male,August 21,grr-ribbit,sharp outfit,busted umbrella,refined,cute,green,Kiddie,playful,trendy,outdoor bath; watering trough; exotic bench; pine bonsai; frog; azalea bonsai; tootoid; tall lantern;,To the Edge,old brick wall,sandlot,Yes,サム,Saponcio,Crakos,Warzi,Porro,샘,だぎゃ,grroac,grroac,croa-croa,croa-croa,grupap,cracragnam,므흣,No,,flg05,0058
Puddles,,Frog,Peppy,Female,January 13,splish,lovely shirt,sunny parasol,cute,refined,pink,Cabin,playful,trendy,picnic table; beach chair; refrigerator; tape deck; lawn chair; gerbera; stove;,K.K. Ballad,lunar horizon,daisy meadow,Yes,チョキ,Nenúfar,Rénata,Nele,Grazia,가위,っちゃ,esplís,esplís,splufff,splufff,platschi,splash,그랬쪄,No,,flg06,0059
Jeremiah,,Frog,Lazy,Male,July 8,nee-deep,sunset top,blue umbrella,subtle,gaudy,blue,Green,dignified,trendy,outdoor bath; tennis table; green bed; green dresser; leaf umbrella; froggy chair; tall droploid; leaf shirt; white boom box;,K.K. Mambo,bamboo wall,red tile,Yes,クワトロ,Jeremías,Jérémie,Jörg,Geremia,드리미,にゃむ,croc-croc,croc-croc,brooap,brooap,nidip,fri fri,딩동댕,No,,flg07,005A
Cousteau,,Frog,Jock,Male,December 17,oui oui,rally shirt,paper parasol,striking,stylish,red,Exotic,dignified,retro,exotic bed; exotic screen; exotic table; pachira; exotic end table; reel-to-reel; exotic chair;,Imperial K.K.,exotic wall,exotic rug,Yes,ハルマキ,Cousteau,Figaro,Jacques,Jacques,왕서방,のことよ,oui oui,oui oui,bidule,bidule,"oui, oui",et voilà,라이라이,No,,flg10,005B
Prince,,Frog,Lazy,Male,July 21,burrup,yellow bar shirt,leaf umbrella,refined,stylish,green,Robo,playful,trendy,complex machine; iron frame; robo-dresser; brown drum; garbage pail; green drum; red drum;,Café K.K.,mod wall,diner tile,Yes,カール,Felipe,Prince,Prinz,Principe,카일,ですだ,buuurp,buuurp,boïïïïïng,boiiiiing,gurp,berp,이리오슈,No,,flg12,005C
Jambette,,Frog,Normal,Female,October 27,croak-kay,prism shirt,ribbon umbrella,stylish,subtle,brown,Classic,dignified,retro,exotic screen; fireplace; classic sofa; classic sofa; exotic lamp; dracaena; phonograph; coconut palm; aloe;,K.K. Country,lattice wall,mosaic tile,Yes,エスメラルダ,Anquita,Gambette,Jeanette,Giada,에스메랄다,ですわよ,croac,croac,quoi,quoi,quaacki,crok-ok,쪼오옥,No,,flg13,005D
Chevre,,Goat,Normal,Female,March 6,la baa,natty shirt,candy umbrella,cute,cool,white,Regal,playful,trendy,classic bed; classic sofa; regal bookcase; classic buffet; regal dresser; white boom box; classic desk; jade econo-chair; Mama bear; petal parasol;,K.K. Chorale,cabana wall,regal carpet,Yes,ユキ,Cabriola,Biquette,Anette,Diletta,윤이,っぺ,beee-beee,beee-beee,la baa,la baa,määääh,beeello,맞아유,No,,goa00,005E
Nan,,Goat,Normal,Female,August 24,kid,citrus gingham,lemon umbrella,fresh,gaudy,black,Modern,dignified,retro,classic bed; blue bureau; blue bookcase; blue bench; wooden box; telescope; mop; retro TV; regal lamp;,Steep Hill,library wall,modern tile,Yes,スミ,Pécora,Nana,Zenobi,Nan,순이,っしょ,peque,peque,fromage,fromage,mekker,bimbi,그랬슈,No,,goa01,005F
Cesar,,Gorilla,Cranky,Male,September 6,highness,A shirt,blue umbrella,subtle,gaudy,brown,Ranch,playful,trendy,retro stereo; regal table; regal sofa; tall strumboid; white pawn; white pawn; bromeliaceae; bromeliaceae;,K.K. Lament,Persian wall,Persian rug,Yes,アラン,César,César,Alfredo,Cesare,앨런,ウホウホ,monigote,monigote,altesse,brutus,hoheit,dado,우갸우갸,No,,gor00,0060
Peewee,,Gorilla,Cranky,Male,September 11,li'l dude,five-ball shirt,leaf umbrella,cool,fresh,gray,Classic,dignified,trendy,exotic bed; samurai suit; high-end stereo; samurai suit; mini drilloid; Japanese drum; Japanese drum; rustoid;,K.K. Casbah,concrete wall,concrete floor,Yes,ダンベル,Lotar,Gogo,Manfred,Kong,덤벨,ガオ,cani,cani,ti-gars,gadget,zwerg,baaanane,겉멋,No,,gor01,0061
Boone,,Gorilla,Jock,Male,September 12,baboom,comfy sweater,paper parasol,cool,funky,colorful,Ranch,dignified,retro,bonfire; weight bench; watering trough; trash can; white boom box; doghouse;,K.K. Western,western vista,western desert,Yes,まんたろう,Babú,Babouin,Kong,Babu,만복이,このやろ,angaua,angaua,ma noix,ma noix,ugh,baboom,야임마,No,,gor02,0062
Violet,,Gorilla,Snooty,Female,September 1,faboom,misty shirt,picnic umbrella,striking,funky,pink,Exotic,playful,retro,classic bed; fireplace; dice stereo; cabana bookcase; pachira; green lava lamp; squat dingloid; mega dingloid;,K.K. Faire,floral wall,opulent rug,Yes,ウズメ,Magenta,Gaëlle,Konga,Konga,줌마,アイヤ,unga,unga,gong,gong,auauauu,unga,에그머닛,No,,gor07,0063
Rocco,,Hippo,Cranky,Male,August 18,hippie,danger shirt,leopard umbrella,strange,stylish,yellow,Cabin,playful,trendy,billiard table; exotic chest; ranch couch; classic bookcase; ranch armchair; cabin clock; wooden box; turntable; pinball machine;,Lucky K.K.,stone wall,plank flooring,Yes,ゴンザレス,Roco,Bebel,Richi,Rocco,곤잘레스,だぎゃー,batracio,batracio,hippie,babi,pfffft,ipper,그러마,No,,hip00,0064
Harry,,Hippo,Cranky,Male,January 7,beach bum,jungle camo,forest umbrella,subtle,cute,aqua,Cabana,dignified,trendy,bathtub; spa chair; beach chair; bath mat; washbasin; corn plant; phonograph; tall droploid;,K.K. Calypso,bathhouse wall,bath tile,Yes,オリバー,Harpo,Bob,Jürgen,Ercolino,올리버,でっせ,algas,algas,mille,mille,höhöhö,uhuhuh,냉큼오슈,No,,hip08,0065
Buck,,Horse,Jock,Male,April 4,pardner,eight-ball shirt,bat umbrella,cool,subtle,brown,Exotic,dignified,trendy,exotic screen; fireplace; exotic chest; ranch couch; classic clock; leather jerkin; ranch armchair; phonograph; classic table;,My Place,old brick wall,opulent rug,Yes,ヴァヤシコフ,Trotón,Daniel,Rudi,Trottolo,바야시코프,なんちて,zanahoria,zanahoria,taty,taty,wiehie,cowboy,농담,No,,hrs00,0066
Victoria,,Horse,Peppy,Female,July 11,sugar cube,one-ball shirt,lacy parasol,cute,strange,red,Ranch,playful,retro,watermelon table; lovely loveseat; storefront; storefront; watering trough; red boom box; tulip chair; kitschy clock; tulip chair; tulip table;,K.K. Country,lunar horizon,backyard lawn,Yes,セントアロー,Victoria,Victoria,Emma,Vittoria,센트엘로,いくわよ,terroncito,terroncito,susucre,susucre,gimazuka,zolletta,달리자,No,,hrs01,0067
Savannah,,Horse,Normal,Female,January 25,y'all,deep blue tee,blue dot parasol,stylish,cute,gray,Cabana,dignified,retro,cabana screen; exotic bench; retro stereo; vibraphone; birdcage; cabana armchair; cabana armchair; pachira; corn plant;,Forest Life,plaza wall,red tile,Yes,サバンナ,Sabana,Savana,Zara,Savannah,사반나,ってば,azucarillo,azucarillo,wimbowé,wimbowé,wichichi,hip hip,맞아요,No,,hrs02,0068
