Name,Image,Species,Personality,Gender,Default Catchphrase,Default Clothing,Default Umbrella,Fav Style,Least Fav Style,Starting Hobby,Birthday,House Exterior Model,House Exterior Palette Group,Furniture,Wallpaper,Carpet,Song,Furniture Tastes,Move-In Type,Name (Japanese),Name (Spanish),Name (French),Name (German),Name (Italian),Name (Korean),Catchphrase (Japanese),Catchphrase (Spanish),Catchphrase (French),Catchphrase (German),Catchphrase (Italian),Catchphrase (Korean),Hex ID,Filename
Cyrano,,Anteater,Cranky,Male,ah-CHOO,dawn shirt,paper parasol,conservative,fancy,walk around,March 9,0-0,A,"hearth, screen, screen, samurai suit, exotic chest, tea table, mega oboid, bow, sword",bamboo wall,tatami floor,K.K. Faire,"modern furniture, blue furniture, yellow furniture, paintings, Asian furniture, Cabana Series furniture",Move-in only,さくらじま,Cirano,Cyrano,Theo,Cirano,사지마,でごわす,achús,ATCHOUM,schneuf,ett-CCIÙ,임돠,00,ant00
Antonio,,Anteater,Jock,Male,honk,big star shirt,bat umbrella,conservative,zany,collect shells,October 20,0-1,B,"picnic table, claw-foot tub, clothesline pole, beach chair, life ring, refrigerator, lawn chair, red boom box, tea set",tropical vista,tropical floor,K.K. Faire,"old-school furniture, red furniture, yellow furniture, houseplants, Cabana Series furniture, Regal Series furniture",Move-in only,マコト,Antonio,Antonio,Siggi,Antonio,퍼머거,ホントに,fufuf,pouet,schlürrrf,honk,진짜로,01,ant01
Pango,,Anteater,Peppy,Female,snooooof,subdued print,picnic umbrella,gauche,cool,shop for clothes,November 9,0-2,D,"ranch table, classic bookcase, ranch couch, exotic screen, mega bowtoid, phonograph, biwa lute, classic clock, lady palm",lattice wall,exotic rug,K.K. Casbah,"modern furniture, red furniture, blue furniture, instruments, Classic Series furniture, Asian furniture",Move-in only,パトラ,Aspidora,Mathilda,Mathilda,Carlotta,패트라,だっしー,snuf-snuf,pouuuuuf,schnieef,snuuf,라지요,02,ant02
Anabelle,,Anteater,Peppy,Female,snorty,tropical shirt,mint umbrella,cute,funky,collect furniture,February 16,4-1,B,"cabana bed, green dresser, cabana screen, exotic bench, cabana vanity, phonograph, corn plant, shower, caladium",floral wall,diner tile,Aloha K.K.,"chic furniture, white furniture, brown furniture, paintings, Lovely Series furniture, Green Series furniture",Move-in only,あるみ,Anabel,Anabelle,Annabell,Annalisa,아롱이,マジでー,esnoink,grognon,puuust,snorty,정말,03,ant03
Teddy,,Bear,Jock,Male,grooof,club shirt,paper parasol,charming,funky,collect shells,September 26,0-2,C,"ebony piano, fireplace, retro stereo, writing desk, retro TV, Mama bear, stool, blue golf bag, writing chair",chic wall,plush carpet,Mr. K.K.,"lovely furniture, brown furniture, green furniture, instruments, Cabin Series furniture, Ranch Series furniture",Starter,たいへいた,Teddy,Teddy,Torsten,Teddy,병태,ですたい,gruuuf,grrrrrr,gruff,gruf,입네다,04,bea00
Pinky,,Bear,Peppy,Female,wah,dazed shirt,candy umbrella,cute,gauche,walk around,September 9,0-3,D,"classic bed, exotic screen, exotic chest, exotic bench, glass-top table, strumboid, red pompom hat, dingloid, goldfish, lamentoid",exquisite wall,bamboo flooring,Imperial K.K.,"chic furniture, blue furniture, white furniture, paintings, Classic Series furniture, Classic Series furniture",Starter,タンタン,Violeta,Rosine,Pia,Pinky,링링,わぉ,terroncito,ouah,schätzchen,cubetto,와,05,bea01
Curt,,Bear,Cranky,Male,fuzzball,MVP shirt,paper parasol,conservative,funky,dig up fossils,July 1,1-0,A,"ranch table, red sofa, wide-screen TV, mini bowtoid, Roman helmet, tiger shirt, weeping fig, zebra shirt",manor wall,tartan rug,K.K. Jazz,"black furniture, modern furniture, instruments, houseplants, Ranch Series furniture, Asian furniture",Starter,ガンテツ,Gorbaché,Curt,Kurt,Curt,뚝심,ウム,oye,bouboule,grumml,fuzzball,음,06,bea02
Chow,,Bear,Cranky,Male,aiya,star shirt,ribbon umbrella,zany,cute,fish,July 22,1-1,B,"exotic bed, exotic screen, sea bass, sea bass, croton, squat dingloid, exotic lamp, exotic end table, exotic chair",imperial wall,imperial tile,K.K. Steppe,"pink furniture, old-school furniture, black furniture, instruments, Regal Series furniture, Robo Series furniture",Starter,チャウヤン,Pando,Chulin,Chang,Chowchow,츄양,アルヨ,ándale-oso,lala,hiijaa,ehilà,그럼,07,bea03
Jay,,Bird,Jock,Male,heeeeeyy,six-ball shirt,yellow umbrella,gauche,charming,dig up fossils,July 17,1-2,C,"classic bed, cream sofa, vibraphone, bass, rocking chair, phonograph, violin, cello",ornate wall,classic carpet,K.K. Waltz,"instruments, Classic Series furniture, chic furniture, paintings, chic furniture, Regal Series furniture",Starter,ツバクロ,Jota,Gérard,Jan,Jet,참돌이,でおます,heeey,maaaaaais,hiiiijjj,cipinci,그쵸,08,brd00
Robin,,Bird,Snooty,Female,la-di-da,kiwi shirt,blue umbrella,charming,severe,shop for clothes,December 4,1-3,D,"pine table, regal sofa, salmon, classic buffet, birdcage, snake plant, exotic lamp, birdcage, turntable",lattice wall,kitchen tile,K.K. Bossa,"blue furniture, chic furniture, brown furniture, instruments, Cabana Series furniture, Asian furniture",Starter,パーチク,Aria,Robie,Jule,Rossana,파틱,さ,picatoste,ta-di-da,ladida,yuppidù,글쎄,09,brd01
Anchovy,,Bird,Lazy,Male,chuurp,earthy knit,yellow umbrella,funky,fancy,catch bugs,March 4,2-0,A,"blue table, green counter, retro stereo, pinball machine, pinball machine, pinball machine, pinball machine, pinball machine",modern wall,parquet floor,K.K. Ragtime,"chic furniture, brown furniture, white furniture, instruments, Regal Series furniture, old-school furniture",Starter,アンチョビ,Boquerón,Miguel,Armin,Acciuga,안쵸비,でシ,piu-piu,muf-muf,tschurp,ciripì,이어라,0A,brd02
Twiggy,,Bird,Peppy,Female,cheepers,barber shirt,gelato umbrella,zany,conservative,collect furniture,July 13,3-2,B,"blue bookcase, gold stereo, blue bureau, ranch bed, cabana vanity, Baby bear, warbloid, corn plant, gargloid",ranch wall,checkered tile,K.K. Calypso,"blue furniture, orange furniture, Blue Series furniture, houseplants, Cabana Series furniture, Classic Series furniture",Starter,ピーチク,Tití,Titi,Twiggy,Titti,핀틱,ッピ,tirití,coolos,zwirtschi,ciiip,크,0B,brd03
Jitters,,Bird,Jock,Male,bzzert,Latin uniform,bat umbrella,charming,cute,collect shells,February 2,1-2,D,"picnic table, hammock, clothesline pole, oil drum, red boom box, mega fizzoid, oil drum, lawn mower",shanty wall,backyard lawn,K.K. Samba,"yellow furniture, blue furniture, Blue Series furniture, instruments, Green Series furniture, modern furniture",Move-in only,ジーニョ,Camelio,Gilbert,Alex,Brivido,딩요,だニョ,pío-pío,bouerk,zischhh,bzzert,삼바,0C,brd04
Angus,,Bull,Cranky,Male,macmoo,flame shirt,flame umbrella,severe,hip,walk around,April 30,2-1,B,"ranch table, high-end stereo, ranch dresser, cream sofa, billiard table, Pantheon post, dart board, rocking chair, Pantheon post, rocking chair",library wall,charcoal tile,Señor K.K.,"old-school furniture, Modern Series furniture, black furniture, paintings, Cabin Series furniture, Cabana Series furniture",Starter,セルバンテス,Aliste,Angus,Angus,Angus,반데스,ふふ,cuernos,meuh meuh,brrruzzl,macmoo,후후,0D,bul00
Rodeo,,Bull,Lazy,Male,chaps,beatnik shirt,blue dot parasol,gauche,cute,fish,October 29,2-2,A,"blue table, gold stereo, red sofa, blue bed, cabin bookcase, cactus, men's toilet, purple lava lamp, mega timpanoid, tall timpanoid",groovy wall,ceramic tile,K.K. Gumbo,"colorful furniture, modern furniture, Blue Series furniture, instruments, Cabin Series furniture, houseplants",Starter,ロデオ,Rodeo,Flèche,Toro,Rodeo,로데오,さすがに,olé,crac,oléolé,chaps,띠용,0E,bul01
Bob,,Cat,Lazy,Male,pthhpth,blossom shirt,gelato umbrella,cool,fancy,walk around,January 1,2-2,C,"kiddie table, kiddie couch, kiddie stereo, kiddie bed, kiddie dresser, kiddie bureau, kiddie clock, kiddie wardrobe, kiddie chair, kiddie bookcase",kiddie wall,kiddie carpet,K.K. Ragtime,"lovely furniture, modern furniture, blue furniture, colorful furniture, Robo Series furniture, Cabin Series furniture",Starter,ニコバン,Arándano,Robert,Jens,Bob,히죽,ネコ,zarpas,pfioupf,psssps,baffo,고양이,0F,cat00
Mitzi,,Cat,Normal,Female,mew,gumdrop shirt,melon umbrella,charming,zany,garden,September 25,2-3,D,"blue table, cabana bookcase, cabana screen, blue bed, cabana dresser, ukulele, warbloid, exotic chair, fan palm, red boom box",modern wall,ranch flooring,K.K. Swing,"green furniture, houseplants, pink furniture, instruments, Classic Series furniture, Blue Series furniture",Starter,マール,Misi,Mistigri,Miezi,Zampetta,마르,ニャー,misi-misi,meeeeeh,muh,miao,야～옹,10,cat01
Rosie,,Cat,Peppy,Female,silly,dazed shirt,mint umbrella,cute,funky,shop for clothes,February 27,3-0,A,"blue table, red sofa, retro stereo, green counter, claw-foot tub, sandbag, kitschy clock, grapefruit table, snowboard, gas pump",mod wall,cowhide rug,Rockin' K.K.,"pink furniture, modern furniture, Lovely Series furniture, houseplants, Regal Series furniture, Green Series furniture",Starter,ブーケ,Minina,Rosie,Sophie,Grinfia,부케,チェキ,miaaau,flûte,dummerchen,tontolon,헤이,11,cat02
Olivia,,Cat,Snooty,Female,purrr,floral knit,elegant umbrella,fancy,funky,collect furniture,February 3,3-1,B,"ivory piano, regal sofa, retro stereo, regal bookcase, regal dresser, bass, regal armoire, snake plant, regal lamp, regal vanity",ornate wall,classic carpet,Two Days Ago,"white furniture, old-school furniture, blue furniture, houseplants, Lovely Series furniture, Cabana Series furniture",Starter,オリビア,Olivia,Olivia,Bianca,Micia,올리비아,なんやん,raspas,rrrrrrrrr,schnurr,purrr,머냐,12,cat03
Kiki,,Cat,Normal,Female,kitty cat,argyle knit,ribbon umbrella,conservative,gauche,shop for clothes,October 8,3-2,C,"pine table, retro stereo, ranch couch, ranch dresser, cabana lamp, pine chair, round cactus, mega bovoid, cactus",mod wall,music room floor,K.K. Country,"black furniture, lovely furniture, yellow furniture, instruments, Cabana Series furniture, Asian furniture",Starter,キャビア,Ágata,Kiki,Kiki,Kiki,캐비어,だニ,galletita,chti minou,miausi,mieaoo,뭐라지요,13,cat04
Tangy,,Cat,Peppy,Female,reeeeOWR,chain-gang shirt,Toad parasol,hip,funky,shop for clothes,June 17,3-3,D,"watermelon table, cream sofa, kiddie stereo, pineapple bed, cabana dresser, pear wardrobe, orange chair, pear dresser, apple clock, lime chair",citrus wall,citrus carpet,Señor K.K.,"orange furniture, yellow furniture, colorful furniture, houseplants, Lovely Series furniture, Cabana Series furniture",Starter,ヒャクパー,Tricia,Marine,Tanja,Arancina,백프로,みかん,mandarinas,roooaR,grraul,miiiiaOU,귤귤,14,cat05
Punchy,,Cat,Lazy,Male,mrmpht,gray tartan,blue umbrella,hip,gauche,fish,April 11,4-0,A,"blue table, blue bench, gold stereo, blue bookcase, blue bed, cactus, gold econo-chair, stove, refrigerator, gold econo-chair",mod wall,blue flooring,K.K. Love Song,"lovely furniture, blue furniture, houseplants, instruments, Blue Series furniture, Cabin Series furniture",Starter,ビンタ,Félix,Cédric,Julian,Felix,빙티,だのら,arenque,blébléblé,mrmpft,maramao,노라줘,15,cat06
Purrl,,Cat,Snooty,Female,kitten,asian shirt,Toad parasol,hip,gauche,catch bugs,May 29,4-1,B,"exotic bed, classic sofa, hi-fi stereo, cabana bookcase, exotic screen, mega fizzoid, antique clock, birdcage, red armchair, corn plant",concrete wall,checkered tile,K.K. Swing,"green furniture, brown furniture, chic furniture, instruments, Cabana Series furniture, Asian furniture",Starter,たま,Wanda,Perle,Franka,Felidia,타마,ふんっ,tontaina,chaton,kätzchen,micetto,냠,16,cat07
Moe,,Cat,Lazy,Male,myawn,BB shirt,daisy umbrella,zany,charming,collect shells,January 12,4-2,C,"green table, kiddie dresser, blue bed, dice stereo, mop, skeleton, clear model, vision tester, trunk measure",green wall,music room floor,K.K. Ragtime,"lovely furniture, blue furniture, houseplants, paintings, Asian furniture, Ranch Series furniture",Starter,ジンペイ,Tristán,Momo,Mia,Moe,진상,な,grrrroou,miou,schluchz,myawn,그치,17,cat08
Kabuki,,Cat,Cranky,Male,meooo-OH,misty shirt,paper parasol,severe,hip,walk around,November 29,4-3,D,"hearth, black katana, red snapper, screen, reel-to-reel, Japanese drum, tall oombloid, giant dharma, mochi pestle",shoji screen,tatami floor,K.K. Folk,"green furniture, gray furniture, brown furniture, houseplants, Classic Series furniture, Asian furniture",Move-in only,かぶきち,Kabuki,Kabuki,Kabuki,Kabuki,가북희,ぃよぉー,imikimono,mia-ouh,miiiau,meooo-OH,꺄,18,cat09
Kid Cat,,Cat,Jock,Male,psst,No. 1 shirt,red umbrella,cool,conservative,catch bugs,August 1,0-0,A,"basketball hoop, clothesline pole, Nintendo bench, iron frame, weight bench, red drum, retro TV, robo-stereo, garbage pail, office locker",chainlink fence,sandlot,Go K.K. Rider!,"red furniture, modern furniture, colorful furniture, instruments, Robo Series furniture, Blue Series furniture",Move-in only,１ごう,Gatomán,Câlin,Petra,Zampa,１호,とぉっ,soldado,psst,maunz,psst,얍,19,cat10
Monique,,Cat,Snooty,Female,pffffft,grape shirt,ribbon umbrella,cute,cool,collect furniture,September 30,3-2,B,"lovely bed, lovely dresser, lovely table, retro stereo, cream sofa, lovely lamp, iris table, lovely chair, tulip table, lovely vanity",groovy wall,ceramic tile,K.K. Swing,"pink furniture, brown furniture, blue furniture, houseplants, Lovely Series furniture, Classic Series furniture",Starter,ジェーン,Monique,Monique,Monique,Marylin,제인,ウフーン,ronrón,pffffft,schnurr,miaù,우,1A,cat11
Tabby,,Cat,Peppy,Female,me-WOW,bone shirt,blue umbrella,zany,charming,catch bugs,August 13,4-1,A,"modern bed, modern table, red sofa, modern desk, red armchair, ponderosa bonsai, red boom box, pine bonsai, green lava lamp",illusion wall,illusion floor,To the Edge,"chic furniture, gray furniture, white furniture, instruments, Regal Series furniture, Lovely Series furniture",Starter,トラこ,Liana,Tigri,Zita,Lisca,호냥이,にゃは,animiaul,mi-AOUUH,mrriau,meOW,삐뽀,1B,cat12
Bluebear,,Cub,Peppy,Female,peach,lemon gingham,blue dot parasol,hip,gauche,catch bugs,June 24,1-0,A,"blue table, red snapper, blue bed, cabana table, blue bench, blue wardrobe, red boom box, blue clock, coconut palm, rock guitar",exotic wall,cabana flooring,K.K. Ska,"modern furniture, instruments, blue furniture, houseplants, Kiddie Series furniture, Robo Series furniture",Starter,グルミン,Celeste,Myrtille,Birte,Azzurra,글루민,キュン,cielito,prune,früchtchen,pepè,두근,1C,cbr00
Maple,,Cub,Normal,Female,honey,citrus gingham,petal parasol,cute,zany,collect furniture,June 15,1-1,B,"ranch table, retro stereo, sewing machine, ranch couch, ranch tea table, mini lullaboid, Baby bear, Mama bear, tall lullaboid, Baby bear",ranch wall,ranch flooring,I Love You,"lovely furniture, brown furniture, houseplants, Ranch Series furniture, Classic Series furniture, Green Series furniture",Starter,メープル,Dulce,Léa,Mona,Dulcinea,메이첼,だベア,trufita,chouchou,darling,miele,저기요,1D,cbr01
Poncho,,Cub,Jock,Male,li'l bear,blue grid shirt,beach umbrella,conservative,funky,collect shells,January 2,1-2,C,"modern bed, cream sofa, mountain bike, modern cabinet, rubber tree, tall droploid, classic table, mini dekkoid, mega timpanoid",music room wall,steel flooring,K.K. Condor,"lovely furniture, black furniture, white furniture, instruments, Regal Series furniture, Modern Series furniture",Starter,ポンチョ,Poncho,Théo,Toni,Poncho,봉추,モン,bolita,nounours,bärli,babà,몽,1E,cbr02
Pudge,,Cub,Lazy,Male,pudgy,chichi print,green umbrella,zany,cute,walk around,June 11,1-3,D,"Arwing, elephant slide, mountain bike, hospital bed, executive toy, red boom box, barber's pole, mochi pestle, tall sputnoid",ornate wall,green rug,Rockin' K.K.,"lovely furniture, yellow furniture, colorful furniture, instruments, Blue Series furniture, Robo Series furniture",Starter,きんぞう,Bollito,Gradub,Bertram,Tombolo,우띠,んもう,rebollos,loulou,griesgram,pulcino,아이참,1F,cbr03
Kody,,Cub,Jock,Male,grah grah,orange check tee,sunny parasol,cool,severe,collect shells,September 28,2-1,D,"moon, sea bass, salmon, red snapper, djimbe drum, bear pole, eagle pole, gongoid, oombloid",ancient wall,exotic rug,K.K. Country,"green furniture, gray furniture, houseplants, Asian furniture, Cabana Series furniture, Classic Series furniture",Starter,アイダホ,Orestes,Bill,Bernd,Salomone,아이다호,のこころ,mola,grih grih,okeydokey,oki-doki,나는나야,20,cbr04
Stitches,,Cub,Lazy,Male,stuffin',star shirt,bat umbrella,hip,cool,garden,February 10,0-3,B,"train set, elephant slide, kiddie dresser, kiddie stereo, hammock, green lamp, rocking horse, jack-in-the-box",playroom wall,playroom rug,K.K. Lullaby,"gray furniture, colorful furniture, Modern Series furniture, paintings, Cabana Series furniture, Regal Series furniture",Starter,パッチ,Parches,Miro,Berry,Toppetta,패치,なのれす,peluche,ou bien,brummm,ohilà,그런거죠,21,cbr05
Goose,,Chicken,Jock,Male,buh-kay,tropical shirt,paper parasol,funky,severe,shop for clothes,October 4,0-1,B,"ranch table, ranch couch, retro stereo, ranch bed, lady palm, exotic chair, classic table, rocking horse, ranch armchair",floral wall,old flooring,K.K. Country,"brown furniture, old-school furniture, green furniture, houseplants, Ranch Series furniture, Green Series furniture",Starter,ケンタ,Gus,Pouli,Konrad,Chiricò,건태,だコケ,caracol,bouyaka,buaa-ka-ka,cucù,키득,22,chn00
Benedict,,Chicken,Lazy,Male,uh-hoo,two-ball shirt,Toad parasol,funky,cool,catch bugs,October 10,0-2,C,"wave breaker, iron frame, iron frame, hospital bed, jackhammer, striped cone, red drum, wet roadway sign, drilloid",backyard fence,closed road,I Love You,"red furniture, lovely furniture, colorful furniture, houseplants, pink furniture, Robo Series furniture",Starter,ぺしみち,Benito,Dimitri,Benedikt,Biagio,페니실린,ウヒョー,cocorico,oh oh,putputtt,uh-hoo,우힛,23,chn01
Egbert,,Chicken,Lazy,Male,doodle-duh,swell shirt,blue umbrella,conservative,zany,dig up fossils,October 14,0-3,D,"robo-table, cream sofa, space shuttle, mini dinkoid, robo-clock, mega dinkoid, dinosaur egg, robo-stereo",mosaic wall,blue flooring,K.K. Technopop,"yellow furniture, chic furniture, colorful furniture, instruments, Kiddie Series furniture, Cabin Series furniture",Starter,しもやけ,Norberto,Herbert,Waldemar,Ovidio,김희,だヨ,kikirikí,di di dou,duudle-du,du du du,짜잔,24,chn02
Patty,,Cow,Peppy,Female,how-now,citrus shirt,gelato umbrella,cute,conservative,dig up fossils,May 10,2-0,A,"cabana bed, cabana screen, cabana table, red tulips, birdcage, cabana wardrobe, white boom box, cabana chair",ranch wall,cabana flooring,K.K. Calypso,"brown furniture, modern furniture, yellow furniture, houseplants, Asian furniture, Cabana Series furniture",Starter,カルピ,Vacarena,Margaux,Patricia,Patty,밀크,だモー,muuuu,allez,muuhna,truuulà,음메,25,cow00
Tipper,,Cow,Snooty,Female,pushy,rainbow shirt,forest umbrella,gauche,conservative,catch bugs,August 25,0-3,A,"classic bed, cream sofa, classic bookcase, kitchen sink, tall bovoid, white cosmos, antique clock, phonograph, mega bovoid",modern wall,stone tile,Soulful K.K.,"chic furniture, modern furniture, houseplants, paintings, Regal Series furniture, Classic Series furniture",Starter,まきば,Pinta,Valé,Angela,Tipper,마틸다,ミルミル,cuernitos,choupette,dingdong,sì sì sì,우유우유,26,cow01
Alfonso,,Alligator,Lazy,Male,it'sa me,big bro's shirt,leaf umbrella,funky,fancy,fish,June 9,2-1,B,"retro stereo, glass-top table, exotic table, exotic chest, corn plant, mini rhythmoid, mini rhythmoid, mini rhythmoid, men's toilet",imperial wall,charcoal tile,Forest Life,"pink furniture, old-school furniture, colorful furniture, instruments, Cabana Series furniture, Regal Series furniture",Starter,アルベルト,Kaimán,Alphonse,Markus,Alfonso,알베르트,だワニ,ñam-ñam,moi moi,ahhhrg,proprio,나아거,27,crd00
Alli,,Alligator,Snooty,Female,graaagh,leopard shirt,sunny parasol,conservative,charming,collect furniture,November 8,1-2,C,"cabana bed, sewing machine, ranch dresser, ranch couch, hi-fi stereo, daisy shirt, dark polka shirt, blue diamond top, natty shirt, lite polka shirt",cabana wall,cabana flooring,K.K. Chorale,"brown furniture, orange furniture, yellow furniture, paintings, Asian furniture, Classic Series furniture",Starter,クロコ,Codrila,Allie,Ali,Alli,크로크,どすえ,lagartija,graaagh,graaach,graaag,얘야,28,crd01
Goldie,,Dog,Normal,Female,woof,dapper shirt,Toad parasol,fancy,zany,garden,December 27,2-2,C,"cabin table, cream sofa, green counter, regal bookcase, ranch bed, rocking chair, tall nebuloid, round cactus, cactus, turntable",blue-trim wall,birch flooring,K.K. Bossa,"yellow furniture, lovely furniture, brown furniture, paintings, Cabin Series furniture, Modern Series furniture",Starter,キャラメル,Tere,Mirza,Bienchen,Dora,카라멜,ワン,guau-guau,ouaf,wuff,wuf wuf,왈왈,29,dog00
Butch,,Dog,Cranky,Male,ROOOOOWF,arctic camo,spider umbrella,cool,cute,dig up fossils,November 1,2-3,D,"modern bed, gold stereo, modern table, nebuloid, blue golf bag, dart board, fan palm",concrete wall,modern tile,K.K. Fusion,"black furniture, chic furniture, brown furniture, houseplants, Classic Series furniture, Modern Series furniture",Starter,ジョン,Bruno,Avril,Hasso,Attila,존,ノン,gruf-gruf,WROOOOUF,GRRUFF,ROOOOOF,아니,2A,dog01
Lucky,,Dog,Lazy,Male,rrr-owch,No. 23 shirt,bat umbrella,cool,zany,catch bugs,November 4,3-0,A,"pyramid, sphinx, clothesline pole, watering trough, asteroid, mummy's casket, squat dingloid, Master Sword, asteroid",ancient wall,ancient tile,K.K. Dirge,"modern furniture, red furniture, white furniture, instruments, Cabin Series furniture, Asian furniture",Move-in only,ラッキー,Pupas,Ramsès,Viktor,Felice,럭키,らしいよ,guuuuAY,graaaouch,rrr-awau,ossorrr,그렇대,2B,dog02
Biskit,,Dog,Lazy,Male,dawg,deep blue tee,sunny parasol,charming,funky,collect shells,May 13,3-1,B,"ranch bed, high-end stereo, cabin low table, ranch dresser, mega bovoid, straw hat, fan palm, cabin clock, ranch armchair",wood paneling,cabana flooring,K.K. Mambo,"old-school furniture, yellow furniture, green furniture, paintings, Regal Series furniture, Robo Series furniture",Starter,ロビン,Amnesio,Crocket,Keks,Buffetto,로빈,だイヌ,guau,clair,kläff,brrranco,멍멍,2C,dog03
Bones,,Dog,Lazy,Male,yip yip,caveman tunic,leaf umbrella,severe,gauche,walk around,August 4,3-2,C,"green bench, basic yellow bed, kiddie dresser, writing desk, computer, tall harmonoid, office chair, blue box, writing chair",playroom wall,green rug,K.K. Ragtime,"lovely furniture, white furniture, brown furniture, houseplants, Cabin Series furniture, Lovely Series furniture",Starter,トミ,Cándido,Nonos,Strolch,Tobia,토미,ネッ,yip yip,yip yip,hechel,yip yip,옙,2D,dog04
Portia,,Dog,Snooty,Female,ruffian,polar fleece,elegant umbrella,gauche,severe,shop for clothes,October 25,3-3,D,"regal bed, regal dresser, classic bookcase, cream sofa, classic buffet, white knight, bad plaid shirt, lacy parasol, phonograph, regal lamp",chic wall,tartan rug,Café K.K.,"chic furniture, black furniture, white furniture, instruments, Cabana Series furniture, Asian furniture",Starter,ブレンダ,Amanda,Dalma,Isolde,Porzia,블랜더,フンッ,ruf-ruf,brute,frechi,ronfietto,흥,2E,dog05
Walker,,Dog,Lazy,Male,wuh,No. 67 shirt,yellow umbrella,conservative,zany,fish,June 10,4-0,A,"cabin bookcase, red sofa, sea bass, red sofa, paperboy cap, retro TV, classic clock, spaceman, caladium",stone wall,old flooring,Two Days Ago,"black furniture, modern furniture, white furniture, paintings, Regal Series furniture, Cabana Series furniture",Starter,ベン,Miki,George,Fido,Walter,벤,バウ,huesitos,ouh,wafff,wuff,컹컹,2F,dog06
Daisy,,Dog,Normal,Female,bow-WOW,kiddie shirt,gelato umbrella,conservative,cool,dig up fossils,November 16,1-2,A,"moon, exotic screen, cream sofa, antique clock, amber, ammonite, extinguisher, telescope",library wall,tartan rug,K.K. Soul,"black furniture, brown furniture, colorful furniture, paintings, Classic Series furniture, Asian furniture",Starter,バニラ,Luisa,Naomie,Doris,Fiorella,바닐라,だよね,guaay,mon chou,wauwau,bau WOW,그렇죠,30,dog07
