Name,Image,Species,Personality,Gender,Default Catchphrase,Default Clothing,Default Umbrella,Fav Style,Least Fav Style,Starting Hobby,Birthday,House Exterior Model,House Exterior Palette Group,Furniture,Wallpaper,Carpet,Song,Furniture Tastes,Move-In Type,Name (Japanese),Name (Spanish),Name (French),Name (German),Name (Italian),Name (Korean),Catchphrase (Japanese),Catchphrase (Spanish),Catchphrase (French),Catchphrase (German),Catchphrase (Italian),Catchphrase (Korean),Hex ID,Filename
Bill,,Duck,Jock,Male,quacko,No. 2 shirt,gelato umbrella,charming,conservative,garden,February 1,4-1,B,"exotic bed, cabana dresser, watering trough, glass-top table, exotic wardrobe, birdcage, birdcage, coconut palm, coconut palm",lattice wall,kitchen tile,K.K. Reggae,"brown furniture, old-school furniture, blue furniture, instruments, Cabin Series furniture, Cabana Series furniture",Starter,ピータン,Paquito,Choco,Bill,Gino,코코아,だね,cuaco,choupichou,quako,quaqua,탕,31,duk00
Joey,,Duck,Lazy,Male,bleeeeeck,No. 3 shirt,leaf umbrella,funky,cute,garden,January 3,4-2,C,"backyard pool, elephant slide, lunar rover, exotic chest, globe, giant dharma, giant dharma, tape deck, mega quazoid",tropical vista,ranch flooring,K.K. Lament,"yellow furniture, lovely furniture, white furniture, instruments, Classic Series furniture, Modern Series furniture",Starter,リチャード,Pascual,Joseph,Kalle,Pino,리처드,でヤンス,uac-uac,beeeuuuurk,tschiiirp,squack,그래유,32,duk01
Pate,,Duck,Peppy,Female,quackle,winter sweater,blue umbrella,cute,severe,collect shells,February 23,4-3,D,"classic bed, regal sofa, classic bookcase, classic vanity, classic clock, turntable, mega freakoid, Corinthian post, mini freakoid",stone wall,opulent rug,K.K. Dirge,"blue furniture, chic furniture, yellow furniture, paintings, Asian furniture, Ranch Series furniture",Starter,ナッキー,Pati,Terrine,Daune,Camilla,나키,メソメソ,cuaqui,coin coin,quaak,quackquack,아잉,33,duk02
Maelle,,Duck,Snooty,Female,duckling,heart shirt,yellow umbrella,fancy,severe,garden,April 8,0-0,A,"lovely bed, lovely kitchen, classic buffet, cream sofa, phonograph, birdcage, lacy parasol, candy gingham, bromeliaceae",parlor wall,ceramic tile,Café K.K.,"modern furniture, pink furniture, yellow furniture, houseplants, Lovely Series furniture, Regal Series furniture",Move-in only,アンヌ,Patidifú,Maëlle,Sissi,Palmita,앤,ふぅ,perla,canardou,entchen,paperotto,우아,34,duk03
Deena,,Duck,Normal,Female,woowoo,kiddie shirt,green umbrella,conservative,zany,fish,June 27,0-1,B,"basketball hoop, tennis table, weight bench, ringside table, mop, CD player, office locker, office locker, office locker",concrete wall,concrete floor,Mr. K.K.,"lovely furniture, brown furniture, pink furniture, instruments, Blue Series furniture, Kiddie Series furniture",Starter,まりも,Martita,Mina,Olivia,Dina,마리모,マル,miguita,youhou,engelchen,quiproquò,우우,35,duk04
Pompom,,Duck,Peppy,Female,rah rah,No. 4 shirt,candy umbrella,fancy,funky,walk around,February 11,0-2,C,"classic bed, sink, elephant slide, cream sofa, lovely dresser, retro fridge, tulip table, baby bed, merry-go-round, retro TV",parlor wall,kitchen tile,K.K. Jazz,"lovely furniture, pink furniture, orange furniture, instruments, Cabana Series furniture, Asian furniture",Starter,のりっぺ,Flopi,Pompon,Erika,Erica,주디,だっピ,sinplumas,rah rah,krah,quoquiquà,다삐,36,duk05
Mallary,,Duck,Snooty,Female,quackpth,blue stripe knit,sunny parasol,fancy,zany,shop for clothes,November 17,0-3,D,"cabana bed, cabana dresser, claw-foot tub, exotic bench, cactus, lady palm, turntable, cabana lamp, pothos",blue wall,mosaic tile,K.K. Bossa,"chic furniture, blue furniture, black furniture, modern furniture, Regal Series furniture, Cabana Series furniture",Starter,スミモモ,Mirta,Mallory,Marina,Sofia,스미모,ヨネ,recuac,coinpff,quackpss,quackplà,모모,37,duk06
Freckles,,Duck,Peppy,Female,ducky,bright shirt,beach umbrella,severe,zany,fish,February 19,0-3,B,"outdoor bath, boxing mat, boxing mat, dice stereo, kiddie dresser, mini puffoid, froggy chair, fan, mega puffoid, tulip table",green wall,bamboo flooring,K.K. Song,"old-school furniture, green furniture, houseplants, instruments, Green Series furniture, Blue Series furniture",Starter,マグロ,Rebeca,Caro,Quacks,Semola,다랑어,ぎょぎょ,cui-cuá,poussin,quaak,qua qua,물물,38,duk07
Derwin,,Duck,Lazy,Male,derrrr,yellow bar shirt,yellow umbrella,cool,fancy,catch bugs,May 25,4-1,C,"sink, basic green bed, writing desk, salmon, retro fridge, space heater, giant dharma, gargloid, writing chair",old brick wall,music room floor,The K. Funk,"lovely furniture, modern furniture, Blue Series furniture, instruments, Robo Series furniture, Classic Series furniture",Starter,ボン,Torcuato,Prof,Erwin,Mike,봉,ね！ママ,cuato,derrrr,krook,quaccolo,엄마,39,duck08
Drake,,Duck,Lazy,Male,quacko,folk shirt,yellow umbrella,conservative,gauche,walk around,June 25,3-2,C,"outdoor bath, sleeping bag, fireplace, Nintendo bench, retro stereo, red tulips, microwave, yellow tulips, glow clock, white tulips",cabin wall,shanty mat,K.K. Blues,"modern furniture, orange furniture, red furniture, houseplants, instruments, Asian furniture",Starter,フォアグラ,Draco,Colvert,Gustav,Drago,푸아그라,かもね,polluelo,canard,schnabbl,quaqua,어쩌면,3A,duck09
Opal,,Elephant,Snooty,Female,snoot,gray tartan,mint umbrella,gauche,cool,shop for clothes,January 20,1-0,A,"exotic bed, exotic screen, classic sofa, pachira, odd clock, exotic wardrobe, exotic lamp, phonograph",mosaic wall,plaza tile,Forest Life,"blue furniture, orange furniture, chic furniture, instruments, Classic Series furniture, Cabin Series furniture",Starter,オパール,Ópalo,Opaline,Olga,Opal,오팔,ヨン,flip-flop,gropif,töööt,snoob,땡,3B,elp00
Dizzy,,Elephant,Lazy,Male,woo-oo,No. 5 shirt,gelato umbrella,gauche,severe,dig up fossils,July 14,1-1,B,"train set, elephant slide, cabin bed, mini dingloid, mega timpanoid, blue chair, mega lamentoid, alarm clock",wood paneling,backyard lawn,K.K. Gumbo,"lovely furniture, modern furniture, colorful furniture, instruments, Ranch Series furniture, Cabin Series furniture",Starter,ヒュージ,Quique,Pachy,Bastian,Annibale,휴지,だゾウ,naricita,woutchou,taraaaa,ullà,휴휴,3C,elp01
Big Top,,Elephant,Lazy,Male,villain,No. 3 shirt,green umbrella,cool,charming,catch bugs,October 3,1-2,C,"blue corner, boxing mat, ringside table, weight bench, boxing mat, sandbag, boxing barricade, tape deck, scale, judge's bell",ringside seating,boxing ring mat,K.K. Metal,"green furniture, lovely furniture, colorful furniture, pink furniture, Asian furniture, Ranch Series furniture",Move-in only,３ごう,Déivid,Miles,Benni,Grande C,３호,うりゃー,mutante,vipère,truuu,furfante,으랏차,3D,elp02
Eloise,,Elephant,Snooty,Female,tooooot,yellow bar shirt,Toad parasol,gauche,severe,collect shells,December 8,1-3,D,"lovely bed, blue bench, green counter, retro stereo, green desk, blue clock, green chair, corn plant, folk guitar",citrus wall,ceramic tile,K.K. Jazz,"yellow furniture, orange furniture, pink furniture, instruments, houseplants, Lovely Series furniture",Starter,エレフィン,Eloísa,Eloïse,Frauke,Eloisa,엘레핀,ルン,orejillas,tooouut,tuutuuuu,nappole,훨훨,3E,elp03
Margie,,Elephant,Normal,Female,tootie,hot spring shirt,petal parasol,gauche,funky,shop for clothes,January 28,3-0,C,"classic bed, cabana screen, cabana bookcase, exotic bench, cabana dresser, djimbe drum, lady palm, tea vase, turntable, exotic end table",Persian wall,exquisite rug,K.K. Bossa,"white furniture, red furniture, brown furniture, instruments, Cabana Series furniture, Asian furniture",Starter,サリー,Rita,Maguy,Elisa,Marianna,샐리,シャララ,flaqui,toutie,trampl,tootie,샬랄라,3F,elp04
Lily,,Frog,Normal,Female,zzrrbbitt,icy shirt,blue dot parasol,charming,cool,garden,February 4,2-1,B,"cabin table, cabin low table, green dresser, green counter, cream sofa, stove, red boom box, froggy chair, retro fridge, fan",groovy wall,ceramic tile,K.K. Salsa,"old-school furniture, green furniture, pink furniture, houseplants, Asian furniture, Cabana Series furniture",Starter,レイニー,Lili,Raina,Liliane,Gigliola,레이니,でちゅ,mosquita,watich',kröti,gragragra,그래요,40,flg00
Ribbot,,Frog,Jock,Male,toady,lightning shirt,blue umbrella,zany,severe,walk around,February 13,2-0,A,"lunar lander, space shuttle, lunar rover, satellite, asteroid, asteroid, Spaceman Sam, Spaceman Sam, tall quazoid",lunar horizon,lunar surface,Go K.K. Rider!,"modern furniture, gray furniture, paintings, Modern Series furniture, Lovely Series furniture, Cabin Series furniture",Move-in only,ガチャ,Ranobot,Crabot,Robbi,Ranabot,철컥,だロボ,crobit,croac,quarrrk,cracrà,오버,41,flg01
Frobert,,Frog,Jock,Male,fribbit,Gracie's top,daisy umbrella,zany,conservative,shop for clothes,February 8,2-2,C,"watermelon table, kiddie couch, sea bass, kiddie stereo, clothesline pole, slim quazoid, pear wardrobe, melon chair, watermelon chair, pear dresser",pastel dot wall,citrus carpet,My Place,"lovely furniture, colorful furniture, instruments, Blue Series furniture, Cabana Series furniture, Regal Series furniture",Starter,コージィ,Croaldo,Verbert,Fritz,Froberto,구리구리,クルリ,anquitas,breup,quäääk,fribbit,객울,42,flg02
Camofrog,,Frog,Cranky,Male,ten-hut,MVP shirt,bat umbrella,gauche,charming,catch bugs,June 5,2-3,D,"backyard pool, ringside table, Nintendo bench, boxing mat, tape deck, squelchoid, boxing barricade, office locker, boxing barricade",ringside seating,boxing ring mat,K.K. Rock,"chic furniture, brown furniture, black furniture, paintings, Cabin Series furniture, Blue Series furniture",Starter,フルメタル,Comando,Milos,Tarno,Crambo,충성,わい,recluta,taïaut,quak-quak,attacroak,와이,43,flg03
Drift,,Frog,Jock,Male,brah,No. 67 shirt,petal parasol,funky,zany,fish,October 9,3-0,A,"clothesline pole, covered wagon, watering trough, mini drilloid, broken post, cow skull, broken post, tumbleweed",western vista,western desert,K.K. Country,"colorful furniture, modern furniture, houseplants, Asian furniture, Ranch Series furniture, Classic Series furniture",Move-in only,ドク,Surfín,Gordon,Caspar,Prospero,덕,ゲロゲロ,colega,braaaa,quak,girin,개굴개굴,44,flg04
Wart Jr.,,Frog,Cranky,Male,grr-ribbit,sharp outfit,busted umbrella,severe,cute,dig up fossils,August 21,3-1,B,"outdoor bath, watering trough, exotic bench, pine bonsai, frog, azalea bonsai, tootoid, tall lantern",old brick wall,sandlot,To the Edge,"brown furniture, old-school furniture, gray furniture, instruments, Ranch Series furniture, Asian furniture",Starter,サム,Saponcio,Crakos,Warzi,Porro,샘,だぎゃ,grroac,croa-croa,grupap,cracragnam,므흣,45,flg05
Puddles,,Frog,Peppy,Female,splish,lovely shirt,sunny parasol,cute,severe,collect furniture,January 13,3-2,C,"picnic table, beach chair, refrigerator, tape deck, lawn chair, gerbera, stove",lunar horizon,daisy meadow,K.K. Ballad,"red furniture, lovely furniture, pink furniture, paintings, Regal Series furniture, Robo Series furniture",Starter,チョキ,Nenúfar,Rénata,Nele,Grazia,가위,っちゃ,esplís,splufff,platschi,splash,그랬쪄,46,flg06
Jeremiah,,Frog,Lazy,Male,nee-deep,sunset top,blue umbrella,conservative,gauche,collect shells,July 8,2-0,A,"outdoor bath, tennis table, green bed, green dresser, leaf umbrella, froggy chair, tall droploid, leaf shirt, white boom box",bamboo wall,red tile,K.K. Mambo,"old-school furniture, blue furniture, white furniture, paintings, Asian furniture, Cabin Series furniture",Starter,クワトロ,Jeremías,Jérémie,Jörg,Geremia,드리미,にゃむ,croc-croc,brooap,nidip,fri fri,딩동댕,47,flg07
Chevre,,Goat,Normal,Female,la baa,natty shirt,candy umbrella,cute,cool,garden,March 6,3-3,D,"classic bed, classic sofa, regal bookcase, classic buffet, regal dresser, white boom box, classic desk, jade econo-chair, Mama bear, petal parasol",cabana wall,regal carpet,K.K. Chorale,"white furniture, chic furniture, red furniture, houseplants, Classic Series furniture, Lovely Series furniture",Starter,ユキ,Cabriola,Biquette,Anette,Diletta,윤이,っぺ,beee-beee,la baa,määääh,beeello,맞아유,48,goa00
Nan,,Goat,Normal,Female,kid,citrus gingham,lemon umbrella,charming,gauche,catch bugs,August 24,4-0,A,"classic bed, blue bureau, blue bookcase, blue bench, wooden box, telescope, mop, retro TV, regal lamp",library wall,modern tile,Steep Hill,"old-school furniture, gray furniture, instruments, Modern Series furniture, Asian furniture, Green Series furniture",Starter,スミ,Pécora,Nana,Zenobi,Nan,순이,っしょ,peque,fromage,mekker,bimbi,그랬슈,49,goa01
Cesar,,Gorilla,Cranky,Male,highness,A shirt,blue umbrella,conservative,gauche,collect furniture,September 6,4-1,B,"retro stereo, regal table, regal sofa, tall strumboid, white pawn, white pawn, bromeliaceae, bromeliaceae",Persian wall,Persian rug,K.K. Lament,"white furniture, black furniture, chic furniture, paintings, houseplants, Classic Series furniture",Starter,アラン,César,César,Alfredo,Cesare,앨런,ウホウホ,monigote,brutus,hoheit,dado,우갸우갸,4A,gor00
Peewee,,Gorilla,Cranky,Male,li'l dude,five-ball shirt,leaf umbrella,cool,charming,fish,September 11,2-2,A,"exotic bed, samurai suit, high-end stereo, samurai suit, mega timpanoid, Japanese drum, Japanese drum, rustoid",concrete wall,concrete floor,K.K. Casbah,"chic furniture, black furniture, instruments, houseplants, Asian furniture, Regal Series furniture",Starter,ダンベル,Lotar,Gogo,Manfred,Kong,덤벨,ガオ,cani,gadget,zwerg,baaanane,겉멋,4B,gor01
Boone,,Gorilla,Jock,Male,baboom,comfy sweater,paper parasol,cool,hip,walk around,September 12,3-1,D,"bonfire, weight bench, watering trough, trash can, white boom box, doghouse",western vista,western desert,K.K. Western,"old-school furniture, brown furniture, red furniture, houseplants, Cabin Series furniture, Asian furniture",Move-in only,まんたろう,Babú,Babouin,Kong,Babu,만복이,このやろ,angaua,ma noix,ugh,baboom,야임마,4C,gor02
Rocco,,Hippo,Cranky,Male,hippie,danger shirt,leopard umbrella,funky,fancy,fish,August 18,4-2,C,"billiard table, exotic chest, ranch couch, classic bookcase, ranch armchair, cabin clock, wooden box, turntable, pinball machine",stone wall,old flooring,Lucky K.K.,"chic furniture, red furniture, colorful furniture, instruments, Ranch Series furniture, Cabin Series furniture",Starter,ゴンザレス,Roco,Bebel,Richi,Rocco,곤잘레스,だぎゃー,batracio,babi,pfffft,ipper,그러마,4D,hip00
Buck,,Horse,Jock,Male,pardner,eight-ball shirt,bat umbrella,cool,conservative,collect furniture,April 4,4-3,D,"exotic screen, fireplace, exotic chest, ranch couch, classic clock, leather jerkin, ranch armchair, phonograph, classic table",old brick wall,opulent rug,My Place,"chic furniture, green furniture, brown furniture, instruments, Classic Series furniture, Ranch Series furniture",Starter,ヴァヤシコフ,Trotón,Daniel,Rudi,Trottolo,바야시코프,なんちて,zanahoria,taty,wiehie,cowboy,농담,4E,hrs00
Victoria,,Horse,Peppy,Female,sugar cube,one-ball shirt,lacy parasol,cute,funky,walk around,July 11,0-0,A,"watermelon table, lovely loveseat, storefront, storefront, watering trough, red boom box, tulip chair, kitschy clock, tulip chair, tulip table",lunar horizon,backyard lawn,K.K. Country,"green furniture, modern furniture, colorful furniture, paintings, Ranch Series furniture, Asian furniture",Starter,セントアロー,Victoria,Victoria,Emma,Vittoria,센트엘로,いくわよ,terroncito,susucre,gimazuka,zolletta,달리자,4F,hrs01
Savannah,,Horse,Normal,Female,y'all,deep blue tee,blue dot parasol,fancy,cute,garden,January 25,0-1,B,"cabana screen, exotic bench, retro stereo, vibraphone, birdcage, cabana armchair, cabana armchair, pachira, corn plant",plaza wall,red tile,Forest Life,"white furniture, old-school furniture, black furniture, paintings, Regal Series furniture, Cabana Series furniture",Starter,サバンナ,Sabana,Savana,Zara,Savannah,사반나,ってば,azucarillo,wimbowé,wichichi,hip hip,맞아요,50,hrs02
Elmer,,Horse,Lazy,Male,tenderfoot,gaudy sweater,gelato umbrella,funky,cute,walk around,October 5,0-2,C,"ranch couch, regal dresser, ranch tea table, ranch couch, phonograph, classic clock, folk guitar, regal armoire, regal lamp",arched window,opulent rug,K.K. Waltz,"brown furniture, lovely furniture, green furniture, instruments, Regal Series furniture, Lovely Series furniture",Starter,サブレ,Jacinto,Martin,Emil,Oreste,샤브렌,だヒヒン,pezuñitas,mouuuuiii,anfänger,pinopino,히히힝,51,hrs03
Roscoe,,Horse,Cranky,Male,nay,checkered shirt,bat umbrella,funky,charming,dig up fossils,June 16,1-1,B,"modern bed, gold stereo, modern sofa, pachira, white knight, modern lamp, black knight",plaza wall,modern tile,K.K. Dirge,"blue furniture, brown furniture, instruments, Modern Series furniture, Asian furniture, Cabin Series furniture",Move-in only,シュバルツ,Jereza,Rosco,Jolly,Roscoe,슈베르트,ブルル,bípedo,shérif,galoppp,nay,부르르,52,hrs04
Yuka,,Koala,Snooty,Female,tsk tsk,citrus gingham,lacy parasol,fancy,cool,collect furniture,July 20,1-1,B,"regal bed, regal table, blue bench, regal bookcase, regal vanity, turntable, tea set, caladium, regal lamp",stately wall,parquet floor,Soulful K.K.,"chic furniture, white furniture, blue furniture, instruments, paintings, Blue Series furniture",Starter,ユーカリ,Yuka,Calypso,Ute,Yuka,유카리,アラ,pues,tss tss,grins,tsé tsé,어맛,53,kal00
Alice,,Koala,Normal,Female,guvnor,barber shirt,lacy parasol,hip,severe,collect shells,August 19,1-2,C,"pine table, cabana screen, cabana bookcase, retro stereo, vibraphone, pine chair, caladium, cactus, pachira, fan palm",green wall,diner tile,Surfin' K.K.,"lovely furniture, colorful furniture, pink furniture, houseplants, Cabana Series furniture, Lovely Series furniture",Starter,メルボルン,Zelanda,Alice,Konny,Alice,멜버른,キラリ,tú,chef,schnarchhh,guvnor,반짝,54,kal01
Melba,,Koala,Normal,Female,toasty,green vest,lacy parasol,cute,funky,garden,April 12,2-0,B,"cabin table, cabin bed, claw-foot tub, cabin couch, green counter, shower, fan palm, green lamp, jukebox, cabin dresser",fairy tale wall,fairy tale floor,K.K. Ragtime,"gray furniture, colorful furniture, Modern Series furniture, paintings, Cabana Series furniture, Regal Series furniture",Starter,アデレード,Melba,Melba,Kornelia,Melba,아델레이드,とっても,tesoro,pêchou,zubba,toasty,정말로요,55,kal02
Kitt,,Kangaroo,Normal,Female,child,blue diamond top,spider umbrella,charming,hip,collect furniture,October 11,0-3,D,"ebony piano, classic sofa, classic sofa, exotic screen, lady palm, powdered wig, tall lullaboid, classic table, turntable",arched window,birch flooring,K.K. Chorale,"red furniture, chic furniture, brown furniture, paintings, Cabana Series furniture, Asian furniture",Move-in only,アップリケ,Antípoda,Poquette,Kerstin,Kitt,애플리케,ッポン,mi alma,gamin,kindchen,cucciolo,폴짝,56,kgr00
Mathilda,,Kangaroo,Snooty,Female,wee baby,U R here shirt,elegant umbrella,conservative,cute,dig up fossils,November 12,1-0,A,"ranch table, classic sofa, billiard table, checkered shirt, rocking chair, corn plant, checkerboard tee, dart board",green wall,checkered tile,K.K. Ragtime,"modern furniture, black furniture, houseplants, Modern Series furniture, Regal Series furniture, Cabana Series furniture",Move-in only,アザラク,Pugilda,Mathilde,Marga,Matilda,안젤라,ッハ,peso mosca,riquiqui,knirps,oplà,응,57,kgr01
Bud,,Lion,Jock,Male,maaan,flowery shirt,beach umbrella,cool,charming,fish,August 8,1-3,D,"picnic table, beach chair, beach chair, beach chair, beach chair, red boom box, ukulele, surfboard, beach table, yellow tulips",tropical vista,tropical floor,K.K. Ska,"yellow furniture, pink furniture, red furniture, houseplants, Asian furniture, Cabana Series furniture",Move-in only,グラさん,Surfleo,Léonard,Dieter,Leo,선글,メ～ン,sabes,m'pote,kumpel,ruggi,요～맨,58,lon00
Elvis,,Lion,Cranky,Male,unh-hunh,royal shirt,red umbrella,conservative,cute,walk around,July 23,0-3,B,"regal sofa, exotic screen, regal sofa, exotic screen, throne, throne, Pantheon post, treasure chest, Pantheon post",arched window,stone tile,K.K. Casbah,"white furniture, black furniture, brown furniture, paintings, Classic Series furniture, Regal Series furniture",Starter,キング,Elvis,Elvis,Leonardo,Elvis,킹,ダロガ,groar,bébé,grolll,unh-hunh,안그냐,59,lon01
Dora,,Mouse,Normal,Female,squeaky,sharp outfit,paper parasol,charming,zany,garden,February 18,2-0,A,"hearth, sewing machine, retro stereo, exotic table, exotic bench, maple bonsai, quince bonsai, blue vase, tall lantern, tall lantern",cabin wall,tatami floor,Soulful K.K.,"white furniture, modern furniture, blue furniture, instruments, Robo Series furniture, Regal Series furniture",Starter,とめ,Dori,Dora,Dora,Serena,티미,だべ,cuiqui,tatouille,quieek,squiksquik,찍찍,5A,mus00
Limberg,,Mouse,Cranky,Male,squinky,subdued print,busted umbrella,hip,cute,walk around,October 17,2-1,B,"outdoor bath, screen, exotic screen, samurai suit, wee dingloid, reel-to-reel, tall percoloid, Japanese drum, tall oombloid",stone wall,tatami floor,K.K. Folk,"gray furniture, old-school furniture, yellow furniture, houseplants, Asian furniture, Robo Series furniture",Starter,らっきょ,Camember,Gruyère,Rafael,Rosico,단무지,てやんで,caramba,Scriiich,pfiffikus,squick,긍가벼,5B,mus01
Bella,,Mouse,Peppy,Female,eeks,skull shirt,flame umbrella,zany,charming,garden,December 28,2-2,C,"lovely bed, green dresser, retro stereo, lovely loveseat, green counter, refrigerator, kitschy clock, iris chair, stove, tulip table",concrete wall,steel flooring,K.K. Metal,"colorful furniture, red furniture, pink furniture, houseplants, Robo Series furniture, instruments",Starter,イザベラ,Prity,Belle,Susi,Bella,이자벨,ギャハッ,petisú,hiiiii,visavisa,eeks,캬학,5C,mus02
Bree,,Mouse,Snooty,Female,cheeseball,floral knit,lacy parasol,charming,gauche,collect furniture,July 7,2-3,D,"regal bed, vibraphone, gold stereo, regal sofa, regal bookcase, weeping fig, radiator, doghouse, regal lamp, regal vanity",blue-trim wall,kitchen tile,Two Days Ago,"white furniture, chic furniture, pink furniture, instruments, Regal Series furniture, Cabana Series furniture",Starter,サラ,Brie,Quenotte,Jenny,Ginella,사라,なんてね,orejas,boulette,kicher,formaggino,글치머,5D,mus03
Samson,,Mouse,Jock,Male,pipsqueak,airy shirt,eggy parasol,hip,zany,dig up fossils,July 5,4-2,D,"blue table, green counter, ball return, gas pump, water bird, watermelon chair, melon chair, kitschy clock",citrus wall,kiddie carpet,Go K.K. Rider!,"lovely furniture, blue furniture, instruments, houseplants, Lovely Series furniture, Robo Series furniture",Starter,ピース,Sansón,Samson,Samson,Sansone,피스,チュー,flojeras,scouic,pieeeps,pisquak,쪽,5E,mus04
Rod,,Mouse,Jock,Male,ace,zipper shirt,gelato umbrella,cool,conservative,catch bugs,August 14,4-3,A,"ranch couch, green counter, billiard table, turntable, odd clock, round cactus, ranch armchair, ranch armchair",sea view,old flooring,K.K. March,"chic furniture, red furniture, colorful furniture, instruments, Cabana Series furniture, instruments",Starter,ジャン,Rodi,Marcel,Manni,Riccardo,쟝,すっげぇ,quesito,tip-top,boa-ey,flapflap,무진장,5F,mus05
Octavian,,Octopus,Cranky,Male,sucker,big star shirt,beach umbrella,hip,fancy,collect shells,September 20,3-0,A,"flying saucer, lunar rover, rocket, satellite, space shuttle, asteroid, asteroid, robo-stereo, robo-chair, Spaceman Sam",lunar horizon,lunar surface,K.K. D & B,"modern furniture, red furniture, black furniture, houseplants, Modern Series furniture, Robo Series furniture",Move-in only,おくたろう,Octavio,Octave,Ottfried,Ottavio,문복,タコ,chupatinta,chenapan,dummkopf,perdindi,쭉쭉,60,ocp00
Marina,,Octopus,Normal,Female,blurp,bubble gum shirt,ribbon umbrella,cute,severe,collect shells,June 26,3-1,B,"lovely bed, lovely dresser, lovely loveseat, claw-foot tub, lovely vanity, sunflower, turntable, lovely end table, lovely lamp",lovely wall,lovely carpet,Soulful K.K.,"pink furniture, houseplants, yellow furniture, paintings, Cabana Series furniture, Classic Series furniture",Move-in only,タコリーナ,Marina,Marina,Marianne,Marina,문리나,きゃ,dospatas,beurp,blubblub,blurp,캬캬,61,ocp01
Queenie,,Ostrich,Snooty,Female,chicken,laced shirt,lacy parasol,zany,gauche,shop for clothes,November 13,3-2,C,"modern bed, regal table, vibraphone, classic sofa, retro stereo, white pawn, black pawn, deluxe range, white pawn, black pawn",plaza wall,modern tile,K.K. Gumbo,"chic furniture, blue furniture, gray furniture, instruments, Asian furniture, Cabana Series furniture",Move-in only,タキュ,Marujita,Reine,Isabella,Regina,택주,やっぱし,gallina,poupoule,hühnchen,polpetta,역시,62,ost00
